,nct_id,smiless_first,block_desc,PCA1,PCA2
0,NCT01288573,C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1,others,-0.4234859210678037,-0.803743930561374
1,NCT01558674,CC1=C2COC(=O)C2=CC=C1[C@@H](O)CN1CCN(C[C@H](O)C2=C(C)C3=C(C=C2)C(=O)OC3)CC1,Diseases of the musculoskeletal system and connective tissue,-0.25481753727761813,-0.11841779869676002
2,NCT01575782,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,others,-1.116404269814943,-0.5868673480520494
3,NCT01609816,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,"Injury, poisoning and certain other consequences of external causes",-0.3809103924664917,0.14321121156230213
4,NCT01657760,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,Mental and behavioural disorders,-0.3585777615366703,-0.5871282192789373
5,NCT01746784,CC1=CC(=CC=C1N1C(CCC(O)=O)=CC=C1C1=CC=C(C=C1)N1C=CN=C1)C(N)=O,"Endocrine, nutritional and metabolic diseases",-0.8508757912492523,-0.39436075477485844
6,NCT01799161,CN1C2=C(NC=N2)C(=O)N(C)C1=O,others,-0.4107696809151704,-0.6864216651091585
7,NCT01803399,CC1=NC(NNC(=O)[C@H](CC2CCCC2)CN(O)C=O)=C(F)C(=N1)N1CCN2CCOC[C@@H]2C1,Certain infectious and parasitic diseases,-0.6455147288803438,0.07863791908211024
8,NCT01812616,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1,Neoplasms,-0.9424242260441681,0.360088289602183
9,NCT01836289,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,Diseases of the digestive system,-1.0624285315788264,0.5258251013530412
10,NCT01838200,COC1=CC=CC=C1OCC(O)CO,Neoplasms,-1.054216369172133,-0.0445072296300479
11,NCT01849276,CN(C)C(=N)NC(N)=N,others,-1.2260382379337513,-1.4162108048163222
12,NCT01852890,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,Neoplasms,-0.9609374806227017,-0.7819340205778873
13,NCT01889420,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC=CC=C2C[C@H]1C(O)=O,others,-0.44193848971137184,0.6734463557727995
14,NCT01902225,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,"Injury, poisoning and certain other consequences of external causes",-0.7775279445297403,-0.14494272498998786
15,NCT01904643,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,others,0.014733062800756208,0.3566230614518384
16,NCT01933594,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,Factors influencing health status and contact with health services,-0.7775279445297403,-0.14494272498998786
17,NCT01940133,CN1N=NC2=C(N=CN2C1=O)C(N)=O,Other,-0.6475041171220429,-0.5431418974530782
18,NCT01949532,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,Diseases of the nervous system,-0.2606291716645037,0.7137552232980406
19,NCT01953809,CC1=NC(NNC(=O)[C@H](CC2CCCC2)CN(O)C=O)=C(F)C(=N1)N1CCN2CCOC[C@@H]2C1,Certain infectious and parasitic diseases,-0.6455147288803438,0.07863791908211024
20,NCT01954732,CN(C)C(=N)NC(N)=N,Neoplasms,-1.2260382379337513,-1.4162108048163222
21,NCT01965600,COC1=CC=C(Cl)C=C1C1=CC(=O)NC(=S)N1CC(N)=O,Factors influencing health status and contact with health services,-0.7637629400360473,0.48016715359306483
22,NCT01966731,NC(=O)NO,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,-1.2245065010620524,-1.116440705792529
23,NCT01972711,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,Mental and behavioural disorders,-0.18272899111917096,0.3043651942329615
24,NCT01975688,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1,Neoplasms,-0.9424242260441681,0.360088289602183
25,NCT01980667,COC1=CC=C2NC3=C(CCN[C@]33CS[C@H]4[C@H]5[C@@H]6N(C)[C@@H](CC7=C6C(O)=C(OC)C(C)=C7)[C@H](O)N5[C@@H](COC3=O)C3=C4C(OC(C)=O)=C(C)C4=C3OCO4)C2=C1,Other,-0.6282511394224862,2.039960612606862
26,NCT01981499,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Diseases of the nervous system,5.463519278873624,-0.21983167166465592
27,NCT01982435,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O,"Endocrine, nutritional and metabolic diseases",-1.0912941440412403,-0.894573603247025
28,NCT01986751,ClC1=CC=CC(Cl)=C1NC1=NCCN1,Diseases of the genitourinary system,-1.062440201966282,-0.9205657839679713
29,NCT01988493,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,Neoplasms,-1.628375659939232,-0.49884344537761477
30,NCT01992952,[H][C@@](CCO)(N=C(O)C1(N)CCN(CC1)C1=NC=NC2=C1C=CN2)C1=CC=C(Cl)C=C1,others,-0.8239216819688417,0.008124483138891596
31,NCT02000700,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1,"Endocrine, nutritional and metabolic diseases",-0.7123524433941777,-0.42797811835018557
